r,t,y,CapitalInvestment
REGION,BENEL3DIP00X,2032,36.889136128471755
REGION,BENEL3DIP00X,2033,38.412616320592484
REGION,BENEL3DIP00X,2034,39.99906518700072
REGION,BENEL3DIP00X,2035,41.65108732864062
REGION,BENEL3DIP00X,2036,43.37139515867298
REGION,BENEL3DIP00X,2037,45.16281336820118
REGION,BENEL3DIP00X,2038,47.02828357702346
REGION,BENEL3DIP00X,2039,48.970869177191695
REGION,BENEL3DIP00X,2040,50.993760377298564
REGION,BENEL4DIP00X,2040,0.0
REGION,BENELGHABP00,2020,117.63161999999998
REGION,BENELGHABP00,2040,0.0
REGION,BENELNERBP00,2040,0.0
REGION,BENGAS00IPIX,2040,0.0
REGION,BENGEOCVP01N,2040,0.0
REGION,BENGEOCVP01O,2040,0.0
REGION,BENHFODIP00X,2040,0.0
REGION,BENHFOEMP00X,2040,0.0
REGION,BENHFOGCP01N,2019,171.11088
REGION,BENHFOGCP01N,2040,0.0
REGION,BENHFOGCP01O,2040,0.0
REGION,BENHFOIMP00X,2040,0.0
REGION,BENHYDLSP00X,2018,822.823723008
REGION,BENHYDLSP00X,2020,419.982941952
REGION,BENHYDLSP00X,2023,1042.81478784
REGION,BENHYDLSP00X,2040,0.0
REGION,BENHYDMGRID1,2040,0.0
REGION,BENHYDMSP00X,2023,571.4053632
REGION,BENHYDMSP00X,2040,0.0
REGION,BENHYDSSP00X,2015,4.489613568
REGION,BENHYDSSP00X,2040,0.0
REGION,BENLFODIP00X,2040,0.0
REGION,BENLFOEMP00X,2040,0.0
REGION,BENLFOIMP00X,2040,0.0
REGION,BENLFOMGRID1,2040,0.0
REGION,BENLFORCP00X,2015,0.7238526503607133
REGION,BENLFORCP00X,2018,0.7628560365873136
REGION,BENLFORCP00X,2040,0.0
REGION,BENLFORCP01N,2040,0.0
REGION,BENLFORCP01O,2040,0.0
REGION,BENLFOSALON1,2040,0.0
REGION,BENLNGEXP00X,2025,9.16120649757759
REGION,BENLNGEXP00X,2040,0.0
REGION,BENLNGIMP00X,2031,0.16707739596230722
REGION,BENLNGIMP00X,2040,0.0
REGION,BENNGACCC01N,2040,0.0
REGION,BENNGACCP01N,2040,0.0
REGION,BENNGACCP01O,2040,0.0
REGION,BENNGADIP00X,2040,0.0
REGION,BENNGAGCP01N,2040,0.0
REGION,BENNGAGCP01O,2040,0.0
REGION,BENNGAPRP00X,2040,0.0
REGION,BENNGGCP01N,2040,0.0
REGION,BENNGGCP01O,2040,0.0
REGION,BENSOLARP00X,2040,0.0
REGION,BENSOLCNP01X,2040,0.0
REGION,BENSOLCSP01X,2040,0.0
REGION,BENSOLMGRID1,2040,0.0
REGION,BENSOLPRP00X,2015,9.504
