r,t,f,y,UseByTechnologyAnnual
REGION,AGOHFOEMP00X,AGOHFO,2026.0,2.3885
REGION,AGOHFOEMP00X,AGOHFO,2027.0,2.3183
REGION,AGOHFOEMP00X,AGOHFO,2028.0,2.248
REGION,AGOHFOEMP00X,AGOHFO,2029.0,2.1778
REGION,AGOHFOEMP00X,AGOHFO,2030.0,2.1075
REGION,AGOHFOEMP00X,AGOHFO,2031.0,2.0548
REGION,AGOHFOEMP00X,AGOHFO,2032.0,2.0021
REGION,AGOHFOEMP00X,AGOHFO,2033.0,1.9495
REGION,AGOHFOEMP00X,AGOHFO,2034.0,1.8968
REGION,AGOHFOEMP00X,AGOHFO,2035.0,1.8441
REGION,AGOHFOEMP00X,AGOHFO,2036.0,1.7914
REGION,AGOHFOEMP00X,AGOHFO,2037.0,1.7387
REGION,AGOHFOEMP00X,AGOHFO,2038.0,1.686
REGION,AGOHFOEMP00X,AGOHFO,2039.0,1.6333
REGION,AGOHFOEMP00X,AGOHFO,2040.0,1.5937
REGION,AGOHFOGCP01N,AGOHFO,2040.0,0.0
REGION,AGOHFOGCP01O,AGOHFO,2015.0,16.4808
REGION,AGOHFOGCP01O,AGOHFO,2016.0,16.4808
REGION,AGOHFOGCP01O,AGOHFO,2017.0,3.2962
REGION,AGOHFOGCP01O,AGOHFO,2018.0,3.2962
REGION,AGOHFOGCP01O,AGOHFO,2019.0,3.2962
REGION,AGOHFOGCP01O,AGOHFO,2020.0,3.2962
REGION,AGOHFOGCP01O,AGOHFO,2021.0,3.1314
REGION,AGOHFOGCP01O,AGOHFO,2022.0,2.9666
REGION,AGOHFOGCP01O,AGOHFO,2023.0,2.8017
REGION,AGOHFOGCP01O,AGOHFO,2024.0,2.6369
REGION,AGOHFOGCP01O,AGOHFO,2025.0,2.4721
REGION,AGOHFOGCP01O,AGOHFO,2026.0,2.3073
REGION,AGOHFOGCP01O,AGOHFO,2027.0,4.4636
REGION,AGOHFOGCP01O,AGOHFO,2028.0,4.1202
REGION,AGOHFOGCP01O,AGOHFO,2029.0,3.7769
REGION,AGOHFOGCP01O,AGOHFO,2030.0,3.4335
REGION,AGOHFOGCP01O,AGOHFO,2031.0,3.0902
REGION,AGOHFOGCP01O,AGOHFO,2032.0,2.7468
REGION,AGOHFOGCP01O,AGOHFO,2033.0,2.4035
REGION,AGOHFOGCP01O,AGOHFO,2034.0,2.0601
REGION,AGOHFOGCP01O,AGOHFO,2035.0,1.7168
REGION,AGOHFOGCP01O,AGOHFO,2036.0,1.3734
REGION,AGOHFOGCP01O,AGOHFO,2037.0,0.7704
REGION,AGOHFOGCP01O,AGOHFO,2038.0,0.3443
REGION,AGOHFOGCP01O,AGOHFO,2039.0,0.1721
REGION,AGOHFOGCP01O,AGOHFO,2040.0,0.0
REGION,AGOLFODIP00X,AGOLFO,2015.0,191.2787
REGION,AGOLFODIP00X,AGOLFO,2016.0,186.9713
REGION,AGOLFODIP00X,AGOLFO,2017.0,155.1123
REGION,AGOLFODIP00X,AGOLFO,2018.0,154.3507
REGION,AGOLFODIP00X,AGOLFO,2019.0,165.446
REGION,AGOLFODIP00X,AGOLFO,2020.0,152.8588
REGION,AGOLFODIP00X,AGOLFO,2021.0,169.3239
REGION,AGOLFODIP00X,AGOLFO,2022.0,183.7838
REGION,AGOLFODIP00X,AGOLFO,2023.0,198.1941
REGION,AGOLFODIP00X,AGOLFO,2024.0,212.5526
REGION,AGOLFODIP00X,AGOLFO,2025.0,226.8572
REGION,AGOLFODIP00X,AGOLFO,2026.0,230.3581
REGION,AGOLFODIP00X,AGOLFO,2027.0,233.8022
REGION,AGOLFODIP00X,AGOLFO,2028.0,237.1886
REGION,AGOLFODIP00X,AGOLFO,2029.0,240.5172
REGION,AGOLFODIP00X,AGOLFO,2030.0,243.7881
REGION,AGOLFODIP00X,AGOLFO,2031.0,244.1944
REGION,AGOLFODIP00X,AGOLFO,2032.0,244.5428
REGION,AGOLFODIP00X,AGOLFO,2033.0,244.8335
REGION,AGOLFODIP00X,AGOLFO,2034.0,245.0675
REGION,AGOLFODIP00X,AGOLFO,2035.0,245.2468
REGION,AGOLFODIP00X,AGOLFO,2036.0,247.6752
REGION,AGOLFODIP00X,AGOLFO,2037.0,250.0511
REGION,AGOLFODIP00X,AGOLFO,2038.0,252.3747
REGION,AGOLFODIP00X,AGOLFO,2039.0,254.6457
REGION,AGOLFODIP00X,AGOLFO,2040.0,256.8638
REGION,AGOLFOEMP00X,AGOLFO,2015.0,37.722
REGION,AGOLFOEMP00X,AGOLFO,2016.0,37.1121
REGION,AGOLFOEMP00X,AGOLFO,2017.0,43.2842
REGION,AGOLFOEMP00X,AGOLFO,2018.0,32.3154
REGION,AGOLFOEMP00X,AGOLFO,2019.0,32.3154
REGION,AGOLFOEMP00X,AGOLFO,2020.0,32.6778
REGION,AGOLFOEMP00X,AGOLFO,2021.0,31.8608
REGION,AGOLFOEMP00X,AGOLFO,2022.0,31.0439
REGION,AGOLFOEMP00X,AGOLFO,2023.0,30.227
REGION,AGOLFOEMP00X,AGOLFO,2024.0,29.41
REGION,AGOLFOEMP00X,AGOLFO,2025.0,28.5931
REGION,AGOLFOEMP00X,AGOLFO,2026.0,27.7761
REGION,AGOLFOEMP00X,AGOLFO,2027.0,26.9592
REGION,AGOLFOEMP00X,AGOLFO,2028.0,26.1422
REGION,AGOLFOEMP00X,AGOLFO,2029.0,25.3253
REGION,AGOLFOEMP00X,AGOLFO,2030.0,24.2365
REGION,AGOLFOEMP00X,AGOLFO,2031.0,23.6306
REGION,AGOLFOEMP00X,AGOLFO,2032.0,23.0247
REGION,AGOLFOEMP00X,AGOLFO,2033.0,22.4188
REGION,AGOLFOEMP00X,AGOLFO,2034.0,21.8129
REGION,AGOLFOEMP00X,AGOLFO,2035.0,21.207
REGION,AGOLFOEMP00X,AGOLFO,2036.0,20.6011
REGION,AGOLFOEMP00X,AGOLFO,2037.0,19.9952
REGION,AGOLFOEMP00X,AGOLFO,2038.0,19.3892
REGION,AGOLFOEMP00X,AGOLFO,2039.0,18.994
REGION,AGOLFOEMP00X,AGOLFO,2040.0,18.1774
REGION,AGOLFOMGRID1,AGOLFO,2040.0,0.0
REGION,AGOLFORCP00X,AGOLFO,2016.0,0.0836
REGION,AGOLFORCP00X,AGOLFO,2017.0,0.0811
REGION,AGOLFORCP00X,AGOLFO,2018.0,0.0879
REGION,AGOLFORCP00X,AGOLFO,2019.0,0.0959
REGION,AGOLFORCP00X,AGOLFO,2020.0,0.1236
REGION,AGOLFORCP00X,AGOLFO,2022.0,0.1194
REGION,AGOLFORCP00X,AGOLFO,2023.0,0.1128
REGION,AGOLFORCP00X,AGOLFO,2024.0,0.1128
REGION,AGOLFORCP00X,AGOLFO,2025.0,0.1128
REGION,AGOLFORCP00X,AGOLFO,2026.0,0.0317
REGION,AGOLFORCP00X,AGOLFO,2027.0,0.0317
REGION,AGOLFORCP00X,AGOLFO,2040.0,0.0
REGION,AGOLFORCP01N,AGOLFO,2038.0,0.1502
REGION,AGOLFORCP01N,AGOLFO,2039.0,0.1502
REGION,AGOLFORCP01N,AGOLFO,2040.0,0.1502
REGION,AGOLFORCP01O,AGOLFO,2015.0,36.3519
REGION,AGOLFORCP01O,AGOLFO,2016.0,38.862
REGION,AGOLFORCP01O,AGOLFO,2017.0,11.6371
REGION,AGOLFORCP01O,AGOLFO,2018.0,11.6371
REGION,AGOLFORCP01O,AGOLFO,2019.0,11.6371
REGION,AGOLFORCP01O,AGOLFO,2020.0,11.6371
REGION,AGOLFORCP01O,AGOLFO,2021.0,11.0553
REGION,AGOLFORCP01O,AGOLFO,2022.0,10.4734
REGION,AGOLFORCP01O,AGOLFO,2023.0,9.8916
REGION,AGOLFORCP01O,AGOLFO,2024.0,9.3097
REGION,AGOLFORCP01O,AGOLFO,2025.0,8.7278
REGION,AGOLFORCP01O,AGOLFO,2026.0,8.146
REGION,AGOLFORCP01O,AGOLFO,2027.0,7.5641
REGION,AGOLFORCP01O,AGOLFO,2028.0,6.9823
REGION,AGOLFORCP01O,AGOLFO,2029.0,6.4004
REGION,AGOLFORCP01O,AGOLFO,2030.0,5.8186
REGION,AGOLFORCP01O,AGOLFO,2031.0,5.2367
REGION,AGOLFORCP01O,AGOLFO,2032.0,4.6549
REGION,AGOLFORCP01O,AGOLFO,2033.0,4.073
REGION,AGOLFORCP01O,AGOLFO,2034.0,3.4911
REGION,AGOLFORCP01O,AGOLFO,2035.0,2.9093
REGION,AGOLFORCP01O,AGOLFO,2036.0,2.3274
REGION,AGOLFORCP01O,AGOLFO,2037.0,1.7456
REGION,AGOLFORCP01O,AGOLFO,2038.0,1.1637
REGION,AGOLFORCP01O,AGOLFO,2039.0,0.5819
REGION,AGOLFORCP01O,AGOLFO,2040.0,0.0
REGION,AGOLFOSALON1,AGOLFO,2040.0,0.0
REGION,AGOLNGEXP00X,AGOGAS,2015.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2016.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2017.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2018.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2019.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2020.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2021.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2022.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2023.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2024.0,270.5956
REGION,AGOLNGEXP00X,AGOGAS,2025.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2026.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2027.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2028.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2029.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2030.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2031.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2032.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2033.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2034.0,230.0
REGION,AGOLNGEXP00X,AGOGAS,2035.0,230.0
